State,avg_monthly_ssi_payment,caps,arp_caregiver_family_support,ui_good_cause_caregiving,spousal_impoverishment,hcbs_expenditure_ratio,hcbs_user_ratio,pct_ltss_hcbs_older_adults,home_health_aides_per100,arp_waiting_list_diversion,arp_tech_telehealth,arp_cross_sector_investments,livability_transportation,livability_housing,hcbs_presumptive_eligibility,section_811_pra,vr_spending_career,vr_spending_training,special_ed_policy_score,arp_workforce_training,buy_in_working_people,subminimum_wage_14c,medicaid_eligibility_threshold,ssi_auto_enroll_medicaid,medically_needy,ssi_criteria_209,arp_quality_improvement,smd_demonstration_projects,initial_ar,reconsidered_ar,total_ar,adl_medicaid_coverage_pct,private_ltci_per1000,section_811_pct_disability,fema_shmp,family_responsibility_class,sdpi_minmax,sdpi_zscore,sdpi_hybrid
Rhode Island,0.36765857516052614,0.15384615384615383,0.9569892473118279,0,0,0,0,1,0,1,0.5,0.35135135135135137,0.34406779661016956,0.5619266055045871,1,1,0.5164992826398852,0.13829787234042554,1,0,1,0.736196319018405,1,0.5937500000000001,0.675862068965517,0.6803519061583579,0.1391304347826087,0.7368421052631579,0,1,0.12903225806451613,0,0,1,0,0,0.4336088965502781,0.05785393471575819,0.4233237570402396
South Carolina,0.15622552870694326,0.3684210526315789,0.19354838709677422,0.5,0,0.5,0,1,0,1,0,0.35135135135135137,0.4,0.7729357798165136,1,0,0.2510760401721664,0.08723404255319152,1,0,1,0.4662576687116562,1,0.41406250000000006,0.4448275862068965,0.14662756598240473,0.1391304347826087,0.05263157894736842,0,0,0.2903225806451613,0.5,0,0,0,0,0.2878841064107482,-0.37474609739932524,0.031924722944276174
South Dakota,0.12952231784880572,0.08097165991902833,0.17921146953405015,1,0,1,0,0,0,1,1,0,0.27457627118644073,0.21559633027522945,1,0,0.16786226685796268,0.10000000000000002,1,0,1,0.3006134969325153,0,0.1953125,0.2551724137931034,0.2727272727272727,0.7391304347826086,0.5789473684210527,0,0,0.22580645161290322,0.9090909090909091,0,1,1,0,0.41392577278005227,-0.0529795234006248,0.25075111142481027
Tennessee,0.29710258413310126,0.056680161943319825,0,1,1,0,1,0,0,1,0,0,0.27627118644067805,0.37155963302752293,1,0,0.32568149210903874,0.1425531914893617,1,0,0,0.061349693251533756,1,0.28906249999999994,0.16206896551724123,0.33431085043988273,0.1826086956521739,0.2631578947368421,0,0,0.41935483870967744,0.45454545454545453,0,0,0,0,0.2679181833574996,-0.40746304712265263,-0.03558487996268657
Texas,0.1389976512580119,1,0.6953405017921147,1,0,1,0,0,0,1,0,0,0.4898305084745764,0.7912844036697246,1,0,0.43902439024390244,0.43404255319148943,1,1,1,0.3435582822085887,1,0.44531249999999994,0.389655172413793,0.34604105571847504,0.13043478260869565,0.2631578947368421,1,1,0.45161290322580644,0.7727272727272727,0,1,0,0,0.5038681214054441,0.0780686273179088,0.4270230758196397
Utah,0.3231793269351901,0.08502024291497974,0.03225806451612902,1,0,0,0,1,0,1,0,0,0.3220338983050847,0.3967889908256879,1,1,0.09182209469153513,0.05319148936170213,0,0,0,0.4049079754601224,1,0.10156250000000006,0.2724137931034482,0.2756598240469208,0.06086956521739131,0.7894736842105263,1,1,0.1935483870967742,0.45454545454545453,0,0,0,0,0.2553471348860298,-0.29394161385903855,0.09062490077405987
Vermont,0.18379013351137227,0.3562753036437247,0.1863799283154122,0.5,0,0,1,0,1,1,0.5,0.3783783783783784,0.4813559322033899,0.6536697247706421,1,1,0.8565279770444764,0.3914893617021277,1,1,1,0.8773006134969324,1,0.5703125,0.7448275862068964,0.7243401759530794,0.22608695652173913,0.9473684210526315,0,0,0.22580645161290322,0.7272727272727273,1,0,0,0,0.4595275437052241,0.31899577374295934,0.5937156840867348
Virginia,0.3303837117950972,0.19838056680161942,0.14695340501792115,0.5,0,1,0,1,0,1,1,0.08108108108108109,0.48813559322033895,0.6238532110091742,0,1,0.33572453371592537,0.29148936170212764,0,0,1,0.6748466257668713,0,0.7187499999999999,0.6965517241379309,0.3431085043988269,0.3217391304347826,0.2631578947368421,0,0,0.41935483870967744,0.3181818181818182,0,1,0,0,0.3590473391885158,-0.1264728598748267,0.2869086714276988
Washington,0.5248238059515424,0.9878542510121456,0.4265232974910394,1,1,0.5,1,1,0,1,0,0,0.7949152542372883,0.7155963302752293,1,1,0.8995695839311334,0.32978723404255317,1,1,0,0.37423312883435556,1,0.3515625,0.36551724137931013,0.5953079178885631,0.5130434782608696,0.8421052631578947,1,0,0.45161290322580644,0.4090909090909091,1,1,1,0,0.6571801759963214,0.7271979609704473,0.8381533954835401
West Virginia,0.40430696973145736,0.10121457489878542,0.5089605734767025,0,1,0,1,0,0,1,0,0,0.0847457627118644,0.8027522935779815,1,1,0.1420373027259684,0.1872340425531915,1,0,0,0.09202453987730062,1,0.265625,0.16896551724137926,0.313782991202346,0,0.5789473684210527,1,0,0.1935483870967742,1,0,0,0,0,0.299017038234064,-0.22030147768862346,0.1367668825068024
Wisconsin,0.4034455757851659,0.33198380566801616,0.17562724014336914,0,0,0,0,1,0,1,0,0.35135135135135137,1,0.9931192660550456,1,1,0.5265423242467719,0.35319148936170214,1,1,0,0.5214723926380369,0,0.5624999999999999,0.5413793103448274,0.5249266862170089,0.2608695652173913,0.7894736842105263,1,1,0.22580645161290322,0.6363636363636364,0,1,0,0,0.43258774358188556,0.0858106159094609,0.455356979370225
Wyoming,0.11307752546993521,0.09716599190283401,0.45161290322580644,0,1,0,0,0,1,1,0,0,0.4169491525423729,0.5642201834862386,1,0,0.17503586800573886,0.3468085106382979,1,1,1,0.6012269938650306,1,0.1953125,0.42413793103448266,0.2316715542521994,0.16521739130434782,0.631578947368421,1,0,0.2903225806451613,0.8636363636363636,0,0,0,0,0.3636017256821772,-0.15783555701716093,0.18790985564344306
